Id,Action
1,0.9498984217643738
2,0.9816790819168091
3,0.984804630279541
4,0.9422630667686462
5,0.9975231289863586
6,0.997836172580719
7,0.9356507062911987
8,0.999358594417572
9,0.2281428873538971
10,0.9476110339164734
11,0.7152172923088074
12,0.971356987953186
13,0.6899226903915405
14,0.9025490880012512
15,0.9762899279594421
16,0.9017271399497986
17,0.6914685368537903
18,0.8343486189842224
19,0.9921230673789978
20,0.9897426962852478
21,0.9987891316413879
22,0.99937504529953
23,0.937150776386261
24,0.9937040209770203
25,0.9055405259132385
26,0.9105126857757568
27,0.9997634291648865
28,0.8783579468727112
29,0.9672557711601257
30,0.6777289509773254
31,0.7694628834724426
32,0.9873894453048706
33,0.9861432909965515
34,0.9607051014900208
35,0.9650588631629944
36,0.9990540146827698
37,0.9916139841079712
38,0.9984708428382874
39,0.8852670192718506
40,0.8004039525985718
41,0.8780496716499329
42,0.9693288803100586
43,0.9990710020065308
44,0.9329538345336914
45,0.9792736768722534
46,0.9892955422401428
47,0.998080849647522
48,0.9988740086555481
49,0.9999992847442627
50,0.9870724081993103
51,0.8324149250984192
52,0.995690643787384
53,0.9825243353843689
54,0.9982070922851562
55,0.8928154110908508
56,0.9848547577857971
57,0.9288234114646912
58,0.9912187457084656
59,0.9858378767967224
60,0.8456740379333496
61,0.9924559593200684
62,0.9932366013526917
63,0.9170730113983154
64,0.9941114783287048
65,0.995414137840271
66,0.9532182216644287
67,0.9631066918373108
68,0.9979724287986755
69,0.7558550834655762
70,0.3141426742076874
71,0.9633523225784302
72,0.8931222558021545
73,0.9949912428855896
74,0.9935623407363892
75,0.9952517747879028
76,0.999462902545929
77,0.9891688823699951
78,0.40446412563323975
79,0.5175961256027222
80,0.9952442049980164
81,0.9985583424568176
82,0.9495999217033386
83,0.9689415693283081
84,0.9795278310775757
85,0.94246906042099
86,0.5572723150253296
87,0.848607063293457
88,0.9561901092529297
89,0.9813823699951172
90,0.7982854843139648
91,0.8335052132606506
92,0.5090983510017395
93,0.9982544779777527
94,0.916473925113678
95,0.9432636499404907
96,0.9721763134002686
97,0.034272097051143646
98,0.9204331040382385
99,0.9884935021400452
100,0.9960353970527649
101,0.6482139229774475
102,0.029861757531762123
103,0.9899736642837524
104,0.9042478799819946
105,0.2959965169429779
106,0.9929929971694946
107,0.9890523552894592
108,0.9761192798614502
109,0.9961181879043579
110,0.9592497944831848
111,0.3149990141391754
112,0.98537677526474
113,0.6883732676506042
114,0.970971941947937
115,0.803478479385376
116,0.980209469795227
117,0.9743568301200867
118,0.9954558610916138
119,0.9988273978233337
120,0.9945787191390991
121,0.9572613835334778
122,0.9965413212776184
123,0.9545910358428955
124,0.9578464031219482
125,0.9713945984840393
126,0.9120705127716064
127,0.6119237542152405
128,0.8440293073654175
129,0.8758503198623657
130,0.9771496653556824
131,0.9184613823890686
132,0.9670761227607727
133,0.9867573976516724
134,0.9342136383056641
135,0.9977940320968628
136,0.8910546898841858
137,0.986092746257782
